week,deviceCategory,medium,sessions,searchSessions,avgTimeOnPage,bounceRate,pageviewsPerSession,goal1Completions,avgPageLoadTime
53,tablet,newsonline,1353,0,6.486725664,75.01847746,1.250554324,0,0
53,tablet,organic,111642,46348,79.62386982,23.4848892,5.254527866,507,0
53,tablet,project_sheet,338,0,146.1301775,50,1.5,0,0
53,tablet,referral,4398,846,87.72850233,53.84265575,3.5,0,5.741224852
53,tablet,shoponline,2368,1522,46.81959253,21.41047297,5.000422297,169,0
53,tablet,social,507,0,47.40412979,66.66666667,1.668639053,0,0
53,tablet,website,338,0,26.02366864,50,1.5,0,0
53,tablet,weekly_ad_12.31,338,0,51.47119645,0,3.00295858,0,0
52,desktop,(none),138706,69015,60.66243878,12.31741958,5.157325566,2030,0
52,desktop,affiliate,15055,3891,58.21482929,23.59349053,5.145931584,677,0
52,desktop,buyer_home_accents_steve,338,169,76.70605613,0,3.00295858,0,0
52,desktop,cpc,167462,74428,59.8542878,12.5252296,4.556574029,1184,0
52,desktop,email,53960,12179,62.35972937,34.79614529,4.094051149,507,0
52,desktop,media connect partners,169,0,0,100,1,0,0
52,desktop,newsonline,6428,0,527.2935961,86.83883012,1.157902925,0,0
52,desktop,organic,353024,164079,61.35998074,14.80607551,5.276955674,2876,5.121325444
52,desktop,project_sheet,169,0,0,100,1,0,0
52,desktop,referral,18438,5244,60.36427241,29.35784792,3.999945764,169,0
52,desktop,social,1184,0,75.1077886,42.82094595,3.429054054,0,0
52,desktop,store_finder,169,0,0,100,1,0,0
52,desktop,website,1184,338,26.27000394,28.5472973,3.142736486,0,0
52,desktop,weekly,169,0,0,100,1,0,0
52,desktop,weekly_ad_12.18,338,338,12.30786721,0,7.50591716,0,0
52,mobile,(none),469910,130756,61.01584741,31.20938052,3.544272307,1522,2.385726914
52,mobile,affiliate,92696,3045,48.99504819,62.22598602,2.129574092,169,0
52,mobile,banners,24527,3721,54.35641958,53.10474171,3.689688914,0,0
52,mobile,bdearden,169,0,0,100,1,0,0
52,mobile,buyer,507,0,0,100,1,0,0
52,mobile,buyer_donna_home_accents,169,0,0,0,1,0,0
52,mobile,buyer_home_accents_donna,338,0,44.04142012,50,1.5,0,0
52,mobile,buyer_large_seasons,169,0,0,100,1,0,0
52,mobile,cpc,1237361,159005,83.49618894,65.05805501,1.925358081,846,2.004460717
52,mobile,email,116885,21821,67.61985146,44.28369765,3.481918125,677,2.720142012
52,mobile,jsanders,169,169,11.81622783,0,12.01183432,0,0
52,mobile,like2buy,677,0,49.37869822,24.96307238,1.748892171,0,0
52,mobile,newsmobile,169,0,0,100,1,0,0
52,mobile,newsonline,22836,338,35.3675073,86.66579086,1.585172535,0,0
52,mobile,organic,797222,195034,70.90052888,42.77528718,3.074688104,1184,5.259566194
52,mobile,project sheet,169,0,0,100,1,0,0
52,mobile,project_sheet,169,0,0,100,1,0,0
52,mobile,referral,26557,3383,54.15892541,41.40151373,3.426780133,338,0
52,mobile,shoponline,17085,9303,63.31688273,20.79016681,5.722622183,0,3.918565089
52,mobile,social,1861,169,93.97437793,45.45943041,3.181085438,0,0
52,mobile,website,1353,0,27.28758446,24.98152254,2.750184775,0,0
52,mobile,weekly,507,507,0,0,1,0,0
52,mobile,weekly_ad_12.18,507,0,0,0,1,0,0
52,tablet,(none),51254,24696,66.49434799,23.10258712,4.079174308,0,0
52,tablet,affiliate,2537,338,149.5206878,40.00788333,2.400473,0,0
52,tablet,banners,677,169,117.051387,49.92614476,10.74446086,169,0
52,tablet,buyer,169,0,0,100,1,0,0
52,tablet,buyer_home_accents_steve,169,0,0,100,1,0,0
52,tablet,buyer_large_seasons,338,169,35.0295858,0,1.5,0,0
52,tablet,cpc,47532,20637,62.03897529,19.57207776,4.163721283,338,3.874191321
52,tablet,email,37214,7104,71.42068179,48.63492234,5.013623905,338,0
52,tablet,newsonline,1861,0,0,90.91886083,1,0,0
52,tablet,organic,90666,41950,76.48771286,22.76156442,4.787340348,338,0
52,tablet,referral,2876,677,32.66891892,58.83171071,2.235048679,0,0
52,tablet,shoponline,1522,1015,46.77897403,11.10381078,4.112352168,0,0
52,tablet,social,338,0,0,100,1,0,0
52,tablet,website,846,338,28.59219858,19.97635934,2,0,0
51,desktop,(none),171860,91005,70.02813103,12.00802979,5.614185965,3045,0
51,desktop,affiliate,18776,6597,56.88693338,16.21751172,6.873881551,1184,0
51,desktop,bdearden,169,0,0,100,1,0,0
51,desktop,buyer,169,169,54.08510638,0,11.01183432,0,0
51,desktop,buyer_home_accents_donna,338,169,10.55154301,0,5.50591716,0,0
51,desktop,cpc,203154,97094,63.13046392,12.57272808,4.703574628,2199,0
51,desktop,email,57681,11841,61.22806175,38.1234722,3.841680969,677,0
51,desktop,jsanders,169,0,0,0,1,0,0
51,desktop,newsonline,5582,0,146.0050361,66.66069509,1.818165532,0,0
51,desktop,organic,460268,224975,60.29719789,15.10467814,5.388089113,7781,4.053794917
51,desktop,project_sheet,169,0,0,100,1,0,0
51,desktop,referral,19622,7612,74.11494285,24.99745184,4.603404342,338,0
51,desktop,social,338,0,0,100,1,0,0
51,desktop,website,1692,0,32.53842656,59.98817967,2.29964539,0,0
51,mobile,(none),495790,160696,60.40819515,30.2968999,3.882974647,2876,5.531029586
51,mobile,affiliate,73074,5244,74.13825013,52.31546104,2.131962121,169,0
51,mobile,banners,20468,2368,57.33799254,56.19503615,2.942104749,0,0
51,mobile,bdearden,169,0,0,100,1,0,0
51,mobile,buyer,846,0,36.03550296,59.92907801,1.199763593,0,0
51,mobile,buyer_donna_home_accents,507,169,69.80253165,33.33333333,3.337278107,0,0
51,mobile,buyer_home_accents_donna,169,0,23.97440945,0,4.00591716,0,0
51,mobile,buyer_large_seasons,507,0,514.4674556,33.33333333,1,0,0
51,mobile,cpc,1111341,174567,77.49454454,62.37446472,2.165448769,2368,7.186611486
51,mobile,email,111472,18269,75.01935839,43.85406201,3.04856825,677,0
51,mobile,header,169,0,62.55621302,0,3,0,0
51,mobile,like2buy,677,338,58.7773913,0,5.246676514,0,0
51,mobile,newsmobile,338,0,0,100,1,0,0
51,mobile,newsonline,17254,0,91.15960591,94.11730613,1.058826939,0,0
51,mobile,organic,800267,209074,65.49928125,42.10532235,3.2597758,2706,3.330953351
51,mobile,project_sheet,507,0,0,66.66666667,1,0,0
51,mobile,project_sheet_floral,169,0,0,100,1,0,0
51,mobile,referral,28925,4060,60.08428337,25.73206569,6.543923941,1015,0
51,mobile,shoponline,20975,9134,60.41300213,26.61263409,6.112943981,169,0
51,mobile,social,1692,169,186.5029586,40.01182033,1.59929078,0,0
51,mobile,video,169,0,0,0,1,0,0
51,mobile,website,1522,0,80.29399015,22.20762155,4.334428384,0,0
51,mobile,weekly_ad_12.11,507,169,47.9628692,0,3.337278107,0,0
51,tablet,(none),63094,29264,70.1715532,22.78822075,4.967857482,1692,0
51,tablet,affiliate,1861,507,55.53900505,36.37829124,4.726491134,169,0
51,tablet,banners,846,169,106.9102622,0,16.59574468,0,0
51,tablet,buyer,169,0,0,0,1,0,0
51,tablet,cpc,59542,26050,71.35876989,19.60296933,4.761378523,169,0
51,tablet,email,36199,6090,81.38618439,43.45700157,2.920550291,0,0
51,tablet,newsonline,2030,169,100.4507389,58.32512315,3,0,0
51,tablet,online,169,0,0,0,1,0,0
51,tablet,organic,112318,51254,75.08942904,22.13892698,4.725912142,1015,2.546184775
51,tablet,project_sheet,169,0,63.23055935,0,14.01183432,0,0
51,tablet,referral,2706,846,148.0050361,43.75461936,2.625277162,0,0
51,tablet,shoponline,507,338,41.7267356,0,2.33530572,0,0
51,tablet,social,507,0,0,100,1,0,0
51,tablet,website,338,0,19.95870206,50,2.00295858,0,0
50,desktop,(none),199602,100985,63.04041006,12.37262152,5.120329456,2030,17.5489645
50,desktop,affiliate,21144,6259,61.16496369,19.20166477,6.168085509,1692,0
50,desktop,buyer,338,0,0,50,1,0,0
50,desktop,buyer_large_seasons,677,169,71.06508876,74.88921713,1.998522895,0,0
50,desktop,cpc,240029,109443,53.42276233,13.81249766,4.622983056,4398,1.53460624
50,desktop,email,80517,19284,73.54336075,35.08451631,3.611361576,507,0
50,desktop,newsonline,5075,169,60.54079622,83.33004926,1.499901478,0,0
50,desktop,organic,536049,268616,64.75298384,13.66367627,5.464811985,9134,3.893039409
50,desktop,project_sheet,846,169,162.6516854,19.97635934,2.998817967,0,0
50,desktop,referral,20468,6597,52.98445077,19.83584131,4.173490326,338,0
50,desktop,social,1522,338,73.43327703,55.5847569,1.666885677,0,0
50,desktop,website,1861,338,57.71815718,27.24341752,3.181085438,0,0
50,desktop,weekly_ad_12.4,338,0,91.94830133,0,3.00295858,0,0
50,desktop,youtube_video,338,0,0,50,1,0,0
50,mobile,(none),544337,181502,65.12615109,29.08639317,3.504351165,2030,2.512857603
50,mobile,affiliate,60050,6090,84.19587067,50.42298085,2.678850958,338,0
50,mobile,b,169,0,0,100,1,0,0
50,mobile,banners,19622,4060,51.50053014,40.51574763,4.163744776,0,0
50,mobile,buyer,846,0,20.99408983,0,2,0,0
50,mobile,buyer_frames,338,0,28.99172577,0,3.50295858,0,0
50,mobile,buyer_home_accents_donna,169,169,0,0,1,0,0
50,mobile,buyer_home_accents_steve,169,0,170.1536189,0,5.00591716,0,0
50,mobile,buyer_large_seasons,1692,338,28.56216516,50,4.098699764,0,0
50,mobile,cpc,1148217,181671,70.44572953,61.62345619,2.289922549,2199,3.320026308
50,mobile,display,169,0,0,100,1,0,0
50,mobile,email,151054,27234,71.03677176,46.92030665,3.596872642,846,9.805782095
50,mobile,like2buy,1522,846,62.2319351,0,11.44743758,0,0
50,mobile,mobile,169,0,13.01183432,0,3,0,0
50,mobile,newsmobile,169,169,40.03550296,0,3,0,0
50,mobile,newsonline,21144,0,46.11609538,80.8030647,1.952043133,0,0
50,mobile,online,338,0,95.94534712,0,3.00295858,0,0
50,mobile,organic,838327,245950,65.68648039,37.22759735,3.564768879,3891,5.388902367
50,mobile,referral,21144,3552,64.05433917,39.20261067,3.664018161,507,0
50,mobile,shoponline,20975,12517,65.92249383,15.32300358,4.935494636,0,3.248955621
50,mobile,social,4567,1184,79.63128133,48.14977009,2.703744252,0,0
50,mobile,website,846,0,8.00591716,80.02364066,1.199763593,0,0
50,mobile,weekly,338,338,0,0,1,0,0
50,mobile,weekly_ad_12.4,338,0,69.78043631,0,22.02071006,0,0
50,mobile,youtube_video,677,0,0,74.88921713,1,0,0
50,tablet,(none),73413,33323,75.34222334,19.35488265,5.564504924,1015,0
50,tablet,affiliate,3383,1015,69.90085768,25.00738989,7.100206917,338,0
50,tablet,banners,677,0,51.58580986,49.92614476,10.49335303,0,0
50,tablet,buyer_large_seasons,1353,338,38.83054187,75.01847746,1.750184775,0,0
50,tablet,cpc,62587,27741,74.40221027,19.45931264,4.108105517,677,0
50,tablet,email,49393,9811,85.24232985,44.17832486,3.619865163,677,3.659257197
50,tablet,large_seasons,169,0,63.0591716,0,2,0,0
50,tablet,newsonline,2368,0,38.53550296,85.72635135,1.142736486,0,0
50,tablet,organic,139552,62756,70.8360342,21.45436826,5.414540816,2199,0
50,tablet,referral,4567,1184,56.56412005,48.14977009,3.851981607,0,0
50,tablet,shoponline,1184,338,27.89243499,42.82094595,2.429054054,0,0
50,tablet,social,507,0,58.27165354,33.33333333,2.001972387,0,0
50,tablet,website,338,0,0,100,1,0,0
50,tablet,weekly_ad,169,0,0,0,1,0,0
50,tablet,youtube_video,338,0,0,50,1,0,0
49,desktop,(none),248318,137353,68.11950393,12.39781248,5.660081025,5413,2.594026588
49,desktop,affiliate,22667,8627,62.9134304,14.17920325,6.589447214,1184,0
49,desktop,buyer,169,0,91.56889764,0,4.00591716,0,0
49,desktop,buyer_donna_home_accents,338,169,59.07516892,50,8.00591716,0,0
49,desktop,buyer_frames,169,0,31.0295858,0,2,0,0
49,desktop,clittle,169,0,0,100,1,0,0
49,desktop,cpc,270139,125681,58.19083258,10.58232984,4.941763314,3552,1.578880788
49,desktop,email,109781,26895,75.14405572,34.36022627,3.978420674,1353,0
49,desktop,header,507,0,9.706329114,33.33333333,3.337278107,0,0
49,desktop,newsonline,6597,0,60.8332314,76.92890708,1.743519782,0,0
49,desktop,organic,602019,304984,63.79710322,13.93643722,5.536946508,8119,2.069992117
49,desktop,referral,28418,8965,79.45197513,32.14160039,5.363079738,677,0
49,desktop,social,1015,338,35.4137931,33.30049261,3,0,0
49,desktop,website,2368,338,45.53808478,21.41047297,3.500422297,0,0
49,desktop,weekly,169,169,0,0,1,0,0
49,desktop,youtube_video,338,0,0,100,1,0,0
49,mobile,(none),639909,236815,62.28051667,27.01556002,3.946869008,1692,0
49,mobile,affiliate,88806,6428,72.8769962,50.0945882,2.422854312,1015,0
49,mobile,banners,28418,6935,64.19045165,41.66725315,3.559504539,0,3.301002959
49,mobile,buyer,1353,0,36.89007092,37.47228381,2.250554324,0,0
49,mobile,buyer_donna_home_accents,169,0,0,0,1,0,0
49,mobile,buyer_home_accents_donna,338,0,368.2755906,50,2.50295858,0,0
49,mobile,buyer_home_accents_steve,169,0,20.51775148,0,3,0,0
49,mobile,buyer_large_seasons,1015,169,19.01775148,49.95073892,1,0,0
49,mobile,buyer_seasonal_crafts,169,169,29.23055935,0,14.01183432,0,0
49,mobile,cpc,1136883,203323,70.9166902,59.82744047,2.369291299,2876,3.787173615
49,mobile,email,199432,43303,71.05590684,39.2705283,3.25445766,1184,5.932240916
49,mobile,large_seasons,169,0,30.0295858,0,2,0,0
49,mobile,like2buy,1692,338,28.9043525,19.97635934,1.899527187,0,0
49,mobile,newsonline,17761,169,25.12252716,77.14092675,2.695287428,0,0
49,mobile,online-app,169,0,31.73264402,0,5.00591716,0,0
49,mobile,organic,988535,309552,68.38104355,35.66054818,3.645962965,4060,4.014641379
49,mobile,project_sheet,169,0,0,100,1,0,0
49,mobile,re-direct,169,0,28.02366864,0,2,0,0
49,mobile,referral,19622,3383,57.91410942,40.51574763,5.310314953,1522,0
49,mobile,shoponline,24696,13025,87.09118675,17.80855199,5.322035957,507,2.003376823
49,mobile,social,3045,507,35.8973776,55.56650246,3.166502463,0,0
49,mobile,vendor_cousin,169,0,0,0,1,0,0
49,mobile,website,1861,169,35.57390203,54.54056959,2.272434175,0,0
49,mobile,weekly,169,0,0,100,1,0,0
49,tablet,(none),89144,41104,71.09698919,21.44171229,4.736246971,1184,0
49,tablet,affiliate,5244,1861,76.73078672,38.7109077,6.032036613,0,0
49,tablet,banners,677,338,88.77509546,24.96307238,12.99261448,0,0
49,tablet,buyer,169,0,0,100,1,0,0
49,tablet,buyer_frames,169,0,16.01183432,0,2,0,0
49,tablet,buyer_home_accents_steve,169,0,0,100,1,0,0
49,tablet,cpc,83731,36199,71.3867114,22.22235492,3.90101635,507,3.916531915
49,tablet,email,62249,14886,78.55989639,33.96681071,3.374977911,677,3.67949191
49,tablet,like2buy,338,0,7.00591716,50,1.5,0,0
49,tablet,newsonline,2368,0,49.04733728,85.72635135,1,0,0
49,tablet,organic,157482,73920,74.82186851,22.01965939,5.379173493,1692,3.415768913
49,tablet,referral,4229,1015,54.09793708,35.98959565,6.679829747,0,4.041674556
49,tablet,shoponline,338,338,46.22378139,0,5.00591716,0,0
49,tablet,social,677,169,65.0591716,24.96307238,1.998522895,0,0
49,tablet,website,677,169,61.14695946,49.92614476,2.748892171,0,0
49,tablet,weekly,169,0,0,100,1,0,0
48,desktop,(none),186915,85592,69.75189641,11.94553674,5.119460717,2030,0
48,desktop,affiliate,25373,7104,76.36958219,24.66795412,6.046703188,1015,0
48,desktop,banners,169,0,0,100,1,0,0
48,desktop,buyer,169,0,0,0,1,0,0
48,desktop,buyer_donna_home_accents,169,0,29.52662722,0,3,0,0
48,desktop,buyer_fabric,169,0,44.78723404,0,6.00591716,0,0
48,desktop,buyer_home_accents_steve,338,169,522.1122047,0,2.50295858,0,0
48,desktop,cpc,222437,94726,60.70021531,13.99227646,4.66616615,1692,1.64270936
48,desktop,email,83224,23005,84.81849337,34.3494665,3.932915986,507,0
48,desktop,jallwood,338,0,125.2939189,0,4.50295858,0,0
48,desktop,newsonline,3552,0,47.95551802,80.96846847,2,0,0
48,desktop,organic,431004,195373,62.78599895,13.42238123,5.470174291,6597,4.6885908
48,desktop,project_sheet,169,0,0,0,1,0,0
48,desktop,referral,25373,10488,87.66044265,21.99976353,8.006700035,338,0
48,desktop,social,338,169,60.6023622,50,2.50295858,0,0
48,desktop,store_finder,169,0,15.01183432,0,2,0,0
48,desktop,website,1015,169,17.99527187,16.65024631,1.666995074,0,0
48,desktop,weekly_ad,169,0,0,100,1,0,0
48,desktop,youtube_video,338,0,0,50,1,0,0
48,mobile,(none),604218,187592,65.23610682,30.29121939,3.779953593,2537,6.522266272
48,mobile,affiliate,96587,8965,60.5908361,45.70904987,2.57442513,338,0
48,mobile,banners,25204,7274,67.38473941,34.22869386,3.892596413,0,0
48,mobile,buyer,677,0,0,74.88921713,1,0,0
48,mobile,buyer_donna_home_accents,338,169,32.23190547,50,3.00295858,0,0
48,mobile,buyer_fabric,169,0,0,100,1,0,0
48,mobile,buyer_home_accents_donna,338,0,18.3648449,50,5.00591716,0,0
48,mobile,buyer_large_seasons,1692,169,49.04733728,69.97635934,1.099881797,0,0
48,mobile,chat,169,169,189.2823356,0,9.00591716,0,0
48,mobile,cpc,1172575,202646,70.80139552,58.54005074,2.433928747,1184,5.025338614
48,mobile,display,169,0,35.03254438,0,3,0,0
48,mobile,email,189114,38736,77.98798263,42.5759066,3.385508212,338,8.441011834
48,mobile,jallwood,338,0,0,100,1,0,0
48,mobile,large_seasons,338,0,0,0,1,0,0
48,mobile,like2buy,1861,677,157.7504435,27.24341752,1.908651263,0,0
48,mobile,newsmobile,169,169,48.42481944,0,10.01183432,0,0
48,mobile,newsonline,10488,169,28.2525641,67.73455378,2.322463768,0,0
48,mobile,organic,909879,248656,65.53987878,37.85085709,3.563858491,3552,11.32530473
48,mobile,project_sheet,677,169,14.26331361,74.88921713,1.998522895,0,0
48,mobile,referral,25373,4229,69.41689038,40.66527411,3.680014188,507,0
48,mobile,shoponline,11333,5582,52.10597435,26.86843731,3.820965323,169,0
48,mobile,social,4060,507,81.74384236,58.32512315,1.5,0,0
48,mobile,website,846,338,22.402838,39.95271868,3.998817967,0,0
48,mobile,weekly,1184,338,81.37825059,42.82094595,1.714527027,0,0
48,mobile,youtube_video,507,0,0,100,1,0,0
48,tablet,(none),88298,37721,70.22979073,20.69016286,5.314197377,1692,2.435213018
48,tablet,affiliate,8627,2199,79.37689,33.33719717,4.23519184,507,0
48,tablet,banners,1522,338,55.89576355,44.48094612,4.334428384,0,0
48,tablet,buyer,338,0,0,50,1,0,0
48,tablet,buyer_large_seasons,169,0,0,0,0,0,0
48,tablet,cpc,88129,32985,62.87283315,19.38635409,4.190028254,677,0
48,tablet,email,58866,14378,75.22330332,42.81588693,3.902269561,677,0
48,tablet,newsonline,2030,169,92.14864865,83.34975369,1.583251232,0,0
48,tablet,organic,137353,48716,69.86946474,22.16769929,5.18841962,1015,0
48,tablet,referral,2876,169,78.22412194,23.53963839,6.881432545,169,0
48,tablet,shoponline,338,0,48.40117994,0,2.00295858,0,0
48,tablet,social,507,0,0,66.66666667,0.666666667,0,0
48,tablet,website,507,0,29.73338257,33.33333333,3.67061144,0,0
47,desktop,(none),189960,94050,67.18501019,13.17909033,5.39892609,3045,3.907875049
47,desktop,affiliate,14209,4398,77.22219083,27.38405236,7.476177071,1353,0
47,desktop,buyer,846,338,18.49852217,19.97635934,2.199763593,0,0
47,desktop,buyer_donna_home_accents,507,338,26.54497702,33.33333333,4.003944773,0,0
47,desktop,buyer_home_accents_donna,169,169,5.00591716,0,2,0,0
47,desktop,buyer_home_acents_steve,169,0,0,100,1,0,0
47,desktop,clittle,338,0,9.480825959,50,2.00295858,0,0
47,desktop,cpc,231910,106905,62.58267965,14.95278341,4.692195248,3383,0
47,desktop,email,89482,19791,84.69938987,26.27567555,3.739143068,846,0
47,desktop,newsonline,6428,169,97.97461311,89.46795271,1.894679527,0,0
47,desktop,organic,483442,224129,64.58480217,13.43594475,5.661649174,6935,3.125955792
47,desktop,referral,20298,5413,76.44066626,33.33333333,4.391762735,677,0
47,desktop,social,1353,169,139.8951931,50.03695492,2.875831486,0,0
47,desktop,website,1522,677,48.11550705,33.31143233,3.889618922,0,0
47,mobile,(none),516934,169154,68.52545324,28.86132466,4.168851343,2537,4.752361232
47,mobile,affiliate,61065,5075,70.27861571,46.8140506,2.58169164,846,18.83613609
47,mobile,banners,21821,5751,70.87252141,44.96127584,4.077494157,169,0
47,mobile,buyer,338,0,0,50,1,0,0
47,mobile,buyer_donna_home_accents,169,0,0,100,1,0,0
47,mobile,buyer_home_accents_donna,677,169,0,49.92614476,1,0,0
47,mobile,buyer_home_accents_steve,169,0,0,100,1,0,0
47,mobile,buyer_large_seasons,677,169,33.36291913,49.92614476,1.748892171,0,0
47,mobile,buyer_needle_art,169,0,0,100,1,0,0
47,mobile,cpc,1014754,172875,72.14636913,57.95966313,2.465577864,2030,3.656702365
47,mobile,email,152915,28925,75.01202316,33.5179675,3.504430566,169,0
47,mobile,jallwood,169,169,200.4547244,0,4.00591716,0,0
47,mobile,large_seasons,169,0,0,0,1,0,0
47,mobile,like2buy,3383,1184,98.34089638,25.00738989,8.250073899,0,0
47,mobile,newsmobile,169,0,0,100,1,0,0
47,mobile,newsonline,7612,338,45.26127747,75.55176038,1.977798213,0,0
47,mobile,online,338,338,8.00591716,0,1.5,0,0
47,mobile,online-evansville,169,0,0,100,1,0,0
47,mobile,organic,781322,229373,67.43890718,34.81266366,3.858192909,3552,8.65874734
47,mobile,project_sheet,338,0,0,100,1,0,0
47,mobile,referral,22667,5413,50.76248043,35.07301363,7.283451714,1015,0
47,mobile,social,5582,677,67.22154144,60.60551774,2.636331064,0,0
47,mobile,website,1015,338,264.479803,33.30049261,2,0,0
47,tablet,(none),67154,33492,76.10905207,19.14405694,5.430741281,846,2.972370809
47,tablet,affiliate,3383,507,86.50192137,44.98965415,3,0,0
47,tablet,banners,1184,507,57.72660269,14.27364865,12.00084459,169,0
47,tablet,buyer,169,0,0,100,1,0,0
47,tablet,buyer_home_accents_steve,169,0,0,100,1,0,0
47,tablet,cpc,82040,33154,66.49505305,22.6803998,4.354619698,338,0
47,tablet,email,59035,12517,85.08375627,37.82163124,3.699127636,677,0
47,tablet,like2buy,169,0,0,100,1,0,0
47,tablet,newsonline,2876,169,21.3530572,94.08901252,1.176286509,0,0
47,tablet,organic,116209,50746,72.78887317,21.6885095,5.104793949,846,0
47,tablet,project_sheet,169,0,0,100,1,0,0
47,tablet,re-direct,169,0,0,100,1,0,0
47,tablet,referral,4567,677,97.1759813,44.44931027,4.185241953,0,0
47,tablet,social,846,0,146.0251293,19.97635934,2.59929078,0,0
47,tablet,website,846,338,75.01927012,39.95271868,21.79432624,169,0
46,desktop,(none),172537,79502,73.70760341,13.82370158,5.292157624,1861,0
46,desktop,affiliate,12010,3383,76.73816956,18.30974188,4.014071607,338,0
46,desktop,allpeoplequilt,338,0,0,50,1,0,0
46,desktop,buyer_custom_framing,169,0,18.98966027,0,5.00591716,0,0
46,desktop,buyer_home_accents_donna,169,0,45.04142012,0,2,0,0
46,desktop,buyer_large_seasons,169,0,0,0,1,0,0
46,desktop,cpc,206029,83900,61.94942332,13.79320387,4.775051085,1184,2.402185404
46,desktop,email,140398,26219,90.84155135,30.24117153,3.065050784,846,0
46,desktop,newsonline,4398,338,136.5802365,61.52796726,1.5,0,0
46,desktop,organic,455193,216517,64.70400514,11.96591336,5.50501875,4398,3.864516765
46,desktop,referral,20637,5244,68.86106588,27.04850511,4.237679895,677,0
46,desktop,social,1522,0,66.86211425,66.68856767,2.00065703,0,0
46,desktop,website,1522,338,45.80347248,22.20762155,2.778580815,0,0
46,desktop,weekly_ad_11.12,169,0,0,100,1,0,0
46,desktop,youtube_video,169,0,0,100,1,0,0
46,mobile,(none),461790,154438,62.99349576,29.19422248,3.868498668,1353,6.268276355
46,mobile,affiliate,71214,3552,94.60654609,58.9069565,2.033251889,0,0
46,mobile,banners,16746,2537,72.60217262,45.4556312,4.596022931,0,0
46,mobile,buyer,338,169,47.98699764,50,3.50295858,0,0
